Name,Watched Date,Year,Rewatch
The Thing,12/12/2019 00:00:00,1982,
"Synecdoche, New York",12/13/2019 00:00:00,2008,
The Skin I Live In,12/14/2019 00:00:00,2011,
Planet of the Apes,12/15/2019 00:00:00,1968,
The Blob,12/16/2019 00:00:00,1958,
Time Bandits,12/17/2019 00:00:00,1981,
The Virgin Spring,12/18/2019 00:00:00,1960,
Downfall,12/19/2019 00:00:00,2004,
Star Wars: The Rise of Skywalker,12/20/2019 00:00:00,2019,
Metropolis,12/21/2019 00:00:00,1927,
The Enigma of Kaspar Hauser,12/22/2019 00:00:00,1974,
"It's a Mad, Mad, Mad, Mad World",12/23/2019 00:00:00,1963,
Belle de Jour,12/24/2019 00:00:00,1967,
Phantasm,12/25/2019 00:00:00,1979,
Ikiru,12/26/2019 00:00:00,1952,
The Big Lebowski,12/27/2019 00:00:00,1998,
Twin Peaks: Fire Walk with Me,12/28/2019 00:00:00,1992,
Reservoir Dogs,12/29/2019 00:00:00,1992,
Solaris,12/30/2019 00:00:00,1972,
My Neighbor Totoro,12/31/2019 00:00:00,1988,
Django Unchained,01/01/2020 00:00:00,2012,
Videodrome,01/02/2020 00:00:00,1983,
Eraserhead,01/03/2020 00:00:00,1977,
Dawn of the Dead,01/04/2020 00:00:00,1978,
Fantastic Planet,01/05/2020 00:00:00,1973,
Mulholland Drive,01/06/2020 00:00:00,2001,
Taxi Driver,01/07/2020 00:00:00,1976,
Waking Life,01/08/2020 00:00:00,2001,
Risky Business,01/09/2020 00:00:00,1983,
The NeverEnding Story,01/10/2020 00:00:00,1984,
Raging Bull,01/12/2020 00:00:00,1980,
Rear Window,01/13/2020 00:00:00,1954,
Mac and Me,01/14/2020 00:00:00,1988,
Starship Troopers,01/15/2020 00:00:00,1997,
Labyrinth,01/16/2020 00:00:00,1986,
Knockaround Guys,01/17/2020 00:00:00,2001,
Tron,01/18/2020 00:00:00,1982,
Hard to Kill,01/19/2020 00:00:00,1990,
The Last Starfighter,01/20/2020 00:00:00,1984,
The Wizard of Oz,01/21/2020 00:00:00,1939,
Tremors,01/22/2020 00:00:00,1990,
Stalker,01/23/2020 00:00:00,1979,
There Will Be Blood,01/24/2020 00:00:00,2007,
8½,01/25/2020 00:00:00,1963,
M,01/26/2020 00:00:00,1931,
The Matrix,01/27/2020 00:00:00,1999,
Ernest Goes to Jail,01/28/2020 00:00:00,1990,
Fantasia,01/29/2020 00:00:00,1940,
Candyman,01/30/2020 00:00:00,1992,
The Nightingale,02/03/2020 00:00:00,2018,
Raiders of the Lost Ark,02/04/2020 00:00:00,1981,
On the Silver Globe,02/05/2020 00:00:00,1988,
The Searchers,02/06/2020 00:00:00,1956,
Antichrist,02/07/2020 00:00:00,2009,
Indiana Jones and the Temple of Doom,02/08/2020 00:00:00,1984,
Au Hasard Balthazar,02/09/2020 00:00:00,1966,
Bicycle Thieves,02/10/2020 00:00:00,1948,
Sinbad of the Seven Seas,02/11/2020 00:00:00,1989,
Blade Runner 2049,02/12/2020 00:00:00,2017,
Rashomon,02/13/2020 00:00:00,1950,
Man with a Movie Camera,02/14/2020 00:00:00,1929,
Tommy Boy,02/14/2020 00:00:00,1995,
Indiana Jones and the Last Crusade,02/15/2020 00:00:00,1989,
The Hiding Place,02/16/2020 00:00:00,1975,
Wayne's World,02/17/2020 00:00:00,1992,
American Graffiti,02/18/2020 00:00:00,1973,Yes
Fargo,02/19/2020 00:00:00,1996,
Air Force One,02/20/2020 00:00:00,1997,
Housekeeping,02/21/2020 00:00:00,1987,
The Call of the Wild,02/22/2020 00:00:00,2020,
Jojo Rabbit,02/22/2020 00:00:00,2019,
