Title,Genres,SpokenLanguages,Runtime,WatchedDate,Rewatch,ReleaseYear
The Thing,"Horror,Mystery,Science Fiction","English,Norwegian",109,12/12/2019 00:00:00,,1982
"Synecdoche, New York",Drama,"English,German",124,12/13/2019 00:00:00,,2008
The Skin I Live In,"Thriller,Drama,Horror","Portuguese,Spanish",120,12/14/2019 00:00:00,,2011
Planet of the Apes,"Science Fiction,Adventure,Drama,Action",English,112,12/15/2019 00:00:00,,1968
The Blob,"Horror,Science Fiction",English,86,12/16/2019 00:00:00,,1958
Time Bandits,"Family,Fantasy,Science Fiction,Adventure,Comedy",English,116,12/17/2019 00:00:00,,1981
The Virgin Spring,"Crime,Drama,Thriller","German,Swedish",90,12/18/2019 00:00:00,,1960
Downfall,"Drama,History,War","Hungarian,German,Russian",156,12/19/2019 00:00:00,,2004
Star Wars: The Rise of Skywalker,"Adventure,Action,Science Fiction",English,142,12/20/2019 00:00:00,,2019
Metropolis,"Drama,Science Fiction",No Language,149,12/21/2019 00:00:00,,1927
The Enigma of Kaspar Hauser,"Drama,History",German,109,12/22/2019 00:00:00,,1974
"It's a Mad, Mad, Mad, Mad World","Action,Adventure,Comedy,Crime",English,163,12/23/2019 00:00:00,,1963
Belle de Jour,"Drama,Romance","French,Mongolian,Spanish",101,12/24/2019 00:00:00,,1967
Phantasm,"Horror,Science Fiction",English,89,12/25/2019 00:00:00,,1979
Ikiru,Drama,Japanese,143,12/26/2019 00:00:00,,1952
The Big Lebowski,"Comedy,Crime","English,Hebrew,Spanish,German",117,12/27/2019 00:00:00,,1998
Twin Peaks: Fire Walk with Me,"Drama,Mystery,Horror",English,135,12/28/2019 00:00:00,,1992
Reservoir Dogs,"Crime,Thriller",English,99,12/29/2019 00:00:00,,1992
Solaris,"Drama,Science Fiction,Mystery",Russian,167,12/30/2019 00:00:00,,1972
My Neighbor Totoro,"Fantasy,Animation,Family",Japanese,86,12/31/2019 00:00:00,,1988
Django Unchained,"Drama,Western","English,French,German",165,01/01/2020 00:00:00,,2012
Videodrome,"Horror,Mystery,Science Fiction",English,88,01/02/2020 00:00:00,,1983
Eraserhead,"Fantasy,Horror",English,89,01/03/2020 00:00:00,,1977
Dawn of the Dead,Horror,English,127,01/04/2020 00:00:00,,1978
Fantastic Planet,"Animation,Science Fiction",French,72,01/05/2020 00:00:00,,1973
Mulholland Drive,"Thriller,Drama,Mystery","Spanish,English",147,01/06/2020 00:00:00,,2001
Taxi Driver,"Crime,Drama","English,Spanish",114,01/07/2020 00:00:00,,1976
Waking Life,"Animation,Drama,Fantasy",English,99,01/08/2020 00:00:00,,2001
Risky Business,"Comedy,Romance,Drama","German,English",98,01/09/2020 00:00:00,,1983
The NeverEnding Story,"Adventure,Fantasy,Family,Drama",English,102,01/10/2020 00:00:00,,1984
Raging Bull,"Drama,History",English,129,01/12/2020 00:00:00,,1980
Rear Window,"Thriller,Mystery",English,112,01/13/2020 00:00:00,,1954
Mac and Me,"Family,Fantasy,Science Fiction,Adventure",English,95,01/14/2020 00:00:00,,1988
Starship Troopers,"Adventure,Action,Thriller,Science Fiction",English,129,01/15/2020 00:00:00,,1997
Labyrinth,"Adventure,Family,Fantasy",English,102,01/16/2020 00:00:00,,1986
Knockaround Guys,"Crime,Thriller",English,92,01/17/2020 00:00:00,,2001
Tron,"Science Fiction,Action,Adventure",English,96,01/18/2020 00:00:00,,1982
Hard to Kill,Action,"English,Slovak",96,01/19/2020 00:00:00,,1990
The Last Starfighter,"Adventure,Science Fiction,Action",English,101,01/20/2020 00:00:00,,1984
The Wizard of Oz,"Adventure,Fantasy,Family",English,102,01/21/2020 00:00:00,,1939
Tremors,"Horror,Comedy,Action,Science Fiction",English,96,01/22/2020 00:00:00,,1990
Stalker,"Science Fiction,Drama",Russian,162,01/23/2020 00:00:00,,1979
There Will Be Blood,Drama,English,158,01/24/2020 00:00:00,,2007
8½,"Fantasy,Drama","German,English,French,Italian",139,01/25/2020 00:00:00,,1963
M,"Drama,Action,Thriller,Crime",German,109,01/26/2020 00:00:00,,1931
The Matrix,"Action,Science Fiction",English,136,01/27/2020 00:00:00,,1999
Ernest Goes to Jail,"Comedy,Family",English,81,01/28/2020 00:00:00,,1990
Fantasia,"Animation,Family",English,124,01/29/2020 00:00:00,,1940
Candyman,"Drama,Horror,Thriller",English,100,01/30/2020 00:00:00,,1992
The Nightingale,"Drama,Thriller","English,Irish",136,02/03/2020 00:00:00,,2018
Raiders of the Lost Ark,"Adventure,Action","English,Spanish,German,Hebrew,Arabic,Nepali",115,02/04/2020 00:00:00,,1981
On the Silver Globe,"Science Fiction,Adventure,Fantasy,Drama",Polish,165,02/05/2020 00:00:00,,1988
The Searchers,Western,"Spanish,English,Navajo",119,02/06/2020 00:00:00,,1956
Antichrist,"Drama,Horror,Thriller",English,108,02/07/2020 00:00:00,,2009
Indiana Jones and the Temple of Doom,"Adventure,Action","Mandarin,English,Sinhalese",118,02/08/2020 00:00:00,,1984
Au Hasard Balthazar,Drama,"French,Latin",96,02/09/2020 00:00:00,,1966
Bicycle Thieves,Drama,Italian,89,02/10/2020 00:00:00,,1948
Sinbad of the Seven Seas,"Adventure,Fantasy",English,93,02/11/2020 00:00:00,,1989
Blade Runner 2049,"Science Fiction,Drama","English,Finnish,Hungarian,Japanese,Russian,Somali,Spanish",164,02/12/2020 00:00:00,,2017
Rashomon,"Crime,Drama,Mystery",Japanese,88,02/13/2020 00:00:00,,1950
Man with a Movie Camera,Documentary,No Language,68,02/14/2020 00:00:00,,1929
Tommy Boy,Comedy,English,98,02/14/2020 00:00:00,,1995
Indiana Jones and the Last Crusade,"Adventure,Action","German,Greek,English",127,02/15/2020 00:00:00,,1989
The Hiding Place,Drama,English,150,02/16/2020 00:00:00,,1975
Wayne's World,"Comedy,Music",English,95,02/17/2020 00:00:00,,1992
American Graffiti,"Comedy,Drama","English,Spanish",110,02/18/2020 00:00:00,Yes,1973
Fargo,"Crime,Drama,Thriller",English,98,02/19/2020 00:00:00,,1996
Air Force One,"Action,Thriller","English,Russian",124,02/20/2020 00:00:00,,1997
Housekeeping,"Comedy,Drama",English,116,02/21/2020 00:00:00,,1987
The Call of the Wild,"Adventure,Family,Drama",English,100,02/22/2020 00:00:00,,2020
Jojo Rabbit,"Comedy,War,Drama","English,German",108,02/22/2020 00:00:00,,2019
My Fair Lady,"Romance,Drama,Music",English,170,02/23/2020 00:00:00,,1964
The Evil Dead,Horror,English,85,02/24/2020 00:00:00,,1981
Dune,"Action,Science Fiction,Adventure",English,137,02/24/2020 00:00:00,,1984
Mr. Mom,"Comedy,Drama","German,Spanish,English",91,02/25/2020 00:00:00,,1983
Jurassic Park,"Adventure,Science Fiction","English,Spanish",127,02/26/2020 00:00:00,,1993
Event Horizon,"Horror,Science Fiction,Mystery","English,Latin",96,02/27/2020 00:00:00,,1997
Jojo Rabbit,"Comedy,War,Drama","English,German",108,02/28/2020 00:00:00,Yes,2019
Suspiria,Horror,"German,Latin,Italian,English",99,02/28/2020 00:00:00,,1977
The Blair Witch Project,"Horror,Mystery",English,81,03/01/2020 00:00:00,,1999
The Abyss,"Adventure,Action,Thriller,Science Fiction",English,139,03/02/2020 00:00:00,,1989
Under the Skin,Drama,Portuguese,19,03/03/2020 00:00:00,,2013
Die Hard,"Action,Thriller","English,German,Italian",131,03/04/2020 00:00:00,,1988
Little Joe,"Drama,Science Fiction",English,106,03/05/2020 00:00:00,,2019
The Cabin in the Woods,"Horror,Fantasy",English,95,03/08/2020 00:00:00,,2011
Come and See,"Drama,History,War","Belarusian,German,Russian",142,03/08/2020 00:00:00,,1985
The Last Unicorn,"Fantasy,Animation,Family,Adventure","English,German",92,03/09/2020 00:00:00,,1982
Knives Out,"Comedy,Crime,Mystery","Spanish,English",131,03/10/2020 00:00:00,,2019
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Drama,Comedy,War",English,95,03/11/2020 00:00:00,,1964
The Texas Chain Saw Massacre,Horror,English,83,03/11/2020 00:00:00,,1974
Ratatouille,"Animation,Comedy,Family,Fantasy","English,French",111,03/12/2020 00:00:00,,2007
Starman,"Science Fiction,Romance",English,115,03/14/2020 00:00:00,,1984
Tomb Raider,"Action,Adventure,Fantasy",English,118,03/15/2020 00:00:00,,2018
Dawn of the Dead,"Action,Horror",English,101,03/16/2020 00:00:00,,2004
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",Drama,French,202,03/17/2020 00:00:00,,1975
Night of the Living Dead,"Horror,Thriller,Science Fiction,Drama",English,96,03/18/2020 00:00:00,,1968
GoodFellas,"Drama,Crime","Italian,English",145,03/19/2020 00:00:00,,1990
Withnail & I,"Comedy,Drama","Latin,English",108,03/20/2020 00:00:00,,1987
The Lego Ninjago Movie,"Family,Animation,Action,Adventure,Comedy",English,101,03/21/2020 00:00:00,,2017
Toy Story 4,"Family,Adventure,Animation,Comedy,Fantasy",English,100,03/22/2020 00:00:00,,2019
Land of the Dead,"Horror,Thriller,Science Fiction","English,French,Haitian; Haitian Creole,Italian,Polish,Spanish",93,03/23/2020 00:00:00,,2005
Citizen Kane,"Mystery,Drama",English,119,03/24/2020 00:00:00,,1941
"Rome, Open City","Drama,History,War","German,Italian",103,03/25/2020 00:00:00,,1945
Rushmore,"Comedy,Drama","French,English,Latin,Spanish",93,03/26/2020 00:00:00,,1998
Sleepaway Camp,Horror,English,85,03/27/2020 00:00:00,,1983
Parasite,"Comedy,Thriller,Drama","English,German,Korean",133,03/30/2020 00:00:00,,2019
Charlie's Angels,"Action,Adventure,Comedy,Crime,Thriller","English,German,Finnish,Japanese,Cantonese",98,03/31/2020 00:00:00,,2000
Taste of Cherry,Drama,Persian,99,04/01/2020 00:00:00,,1997
The Social Network,Drama,English,121,04/02/2020 00:00:00,,2010
Day of the Dead,"Horror,Thriller,Drama,Mystery",English,101,04/03/2020 00:00:00,,1985
The Sound of Music,"Drama,Family,Music,Romance","English,German",175,04/04/2020 00:00:00,,1965
Onward,"Family,Animation,Adventure,Comedy,Fantasy",English,103,04/05/2020 00:00:00,,2020
Cléo from 5 to 7,Drama,French,90,04/07/2020 00:00:00,,1962
Blow the Man Down,"Drama,Mystery,Comedy",English,90,04/07/2020 00:00:00,,2019
Ghost in the Shell,"Action,Animation,Science Fiction",Japanese,83,04/08/2020 00:00:00,,1995
Fail Safe,"Drama,Thriller,War","English,Russian",112,04/09/2020 00:00:00,,1964
First Reformed,Drama,English,113,04/10/2020 00:00:00,,2017
The Passion of the Christ,Drama,"Hebrew,Latin",127,04/11/2020 00:00:00,,2004
Baby Driver,"Action,Crime",English,113,04/12/2020 00:00:00,Yes,2017
The SpongeBob SquarePants Movie,"Family,Animation,Comedy,Fantasy",English,87,04/13/2020 00:00:00,Yes,2004
Eighth Grade,"Comedy,Drama",English,94,04/14/2020 00:00:00,,2018
The Wicker Man,Horror,English,94,04/15/2020 00:00:00,,1973
The Old Dark House,"Comedy,Horror",English,72,04/16/2020 00:00:00,,1932
Freaks,"Drama,Horror","English,French,German",62,04/16/2020 00:00:00,,1932
Brief Encounter,"Drama,Romance",English,86,04/17/2020 00:00:00,,1945
Dawn of the Dead,Horror,English,127,04/18/2020 00:00:00,Yes,1978
A Serious Man,"Comedy,Drama","Italian,English,Yiddish,Hebrew",106,04/19/2020 00:00:00,,2009
They Live,"Science Fiction,Action","English,German",94,04/20/2020 00:00:00,,1988
Touch of Evil,"Crime,Thriller","English,Spanish",111,04/21/2020 00:00:00,,1958
The Cabinet of Dr. Caligari,"Drama,Horror,Thriller,Crime",No Language,75,04/22/2020 00:00:00,,1920
Laura,"Drama,Mystery",English,88,04/24/2020 00:00:00,,1944
Dunston Checks In,"Family,Comedy,Adventure","Russian,English,French",88,04/25/2020 00:00:00,,1996
Vertigo,"Mystery,Romance,Thriller",English,128,04/26/2020 00:00:00,,1958
The Seventh Seal,"Fantasy,Drama",Swedish,96,04/27/2020 00:00:00,,1957
The Thing,"Horror,Mystery,Science Fiction","English,Norwegian",109,04/28/2020 00:00:00,Yes,1982
Alphaville,"Drama,Science Fiction,Mystery",French,100,04/29/2020 00:00:00,,1965
Seconds,"Science Fiction,Thriller",English,107,04/30/2020 00:00:00,,1966
Mirror,"Drama,History","Russian,Spanish",107,05/01/2020 00:00:00,,1975
Blazing Saddles,"Western,Comedy","German,English,Yiddish",93,05/02/2020 00:00:00,,1974
Apocalypse Now,"Drama,War","Khmer,English,French,Vietnamese",147,05/03/2020 00:00:00,,1979
